origin,destination,amount,ranking
Bangladesh,The University of Portsmouth,1160,74
Bangladesh,The University of Greenwich,840,92
Bangladesh,Ulster University,815,44
Bangladesh,University for the Creative Arts,695,75
Bangladesh,University of Hertfordshire,640,80
China,University College London,10785,8
China,The University of Glasgow,9085,16
China,The University of Manchester,9065,13
China,The University of Edinburgh,6855,12
China,King's College London,6360,21
Hong Kong ,University College London,1195,8
Hong Kong ,The University of Exeter,910,13
Hong Kong ,Imperial College London,635,5
Hong Kong ,King's College London,600,21
Hong Kong ,University of Durham,555,6
India,University of Hertfordshire,5825,80
India,Coventry University,5405,52
India,The University of East London,4995,127
India,The University of Greenwich,4610,92
India,Ulster University,3930,44
Malaysia,The University of Manchester,695,13
Malaysia,University College London,680,8
Malaysia,The University of Edinburgh,480,12
Malaysia,Imperial College London,460,5
Malaysia,King's College London,390,21
Pakistan,University of Hertfordshire,2010,80
Pakistan,Coventry University,1015,52
Pakistan,The University of the West of Scotland,935,103
Pakistan,Ulster University,735,44
Pakistan,"University of the West of England, Bristol",690,55
